Afghanistan,land farm issue,ethnic Hazaras,2016,2


Afghanistan,police brutality,protesters,2011,1


Afghanistan,police brutality,taliban supporters,1997,1


Afghanistan,"political behavior,protesters,2014,1


Afghanistan,"political behavior,protesters,2015,3


Afghanistan,"political behavior,protesters,2016,1


Afghanistan, supporters of Abdullah Abdullah","protesters,2014,1


Afghanistan, women","protesters,2015,1


Afghanistan, youth,"protesters,2015,1


Afghanistan,"political behavior,residents,2016,1


Afghanistan,"political behavior,students,2002,1


Afghanistan,"political behavior,supporters of the presidential candidate Abdullah Abdullah,2014,2


Afghanistan, Tajiks and Hazaras","supporters of the presidential candidate Abdullah Abdullah,2014,1


Afghanistan,"political behavior,university students,2014,1


Afghanistan,social restrictions,National Islamic Front of Afghanistan candidates and supporters,2005,1


Afghanistan,social restrictions,womens' groups,2005,1


Albania,labor wage dispute,Albanians,1991,1


Albania,labor wage dispute,Workers,1992,2


Albania,police brutality,Albanians,1997,1


Albania,"political behavior, followers of the former Albanian President Sali Berisha,1998,1


Albania,"political behavior, former political prisoners ,1994,1


Albania,"political behavior,Albanians,1991,3


Albania,"political behavior,Albanians,1997,9


Albania,"political behavior,ethnic Greeks,1993,1


Albania,"political behavior,leaders and supporters of opposition parties ,1996,1


Albania,"political behavior,opposition ,2011,1


Albania,"political behavior,opposition leaders,2010,1


Albania,"political behavior,people,1991,1


Albania, students,"People,1990,1


Albania,"political behavior,protesters,2000,1


Albania,"political behavior,protesters,2010,5


Albania,"political behavior,protesters,2011,2


Albania,"political behavior,protesters,2013,2


Albania,"political behavior,Protestors,1990,1


Albania,"political behavior,Protestors,1991,1


Albania, Students,"Rioters,1990,1


Albania,"political behavior,Students,1990,1


Albania,"political behavior,Students,1991,1


Albania,"political behavior,Students and other people,1990,1


Albania,"political behavior,supporters of opposition Socialist party,2013,1


Albania,"political behavior,Supporters of the opposition,1998,1


Albania,"political behavior,supporters of the Socialist Party,1993,1


Albania,"political behavior,Youths,1991,1


Albania,"price increases,People,1992,1


Albania,removal of politician,Albanians,1997,1


Albania,removal of politician,Supporters of Albania's former President Sali Berisha,1998,1


Algeria,labor wage dispute,policemen,2014,2


Algeria,land farm issue,residents,2014,1


Algeria,police brutality,Berber youths,2001,1


Algeria,police brutality,Berbers,2001,1


Algeria,police brutality,pro-Berber rights,2001,1


Algeria, anti-Bouteflika protesters","Barakat (Arabic for ""That's enough"") movement,2014,3


Algeria,"political behavior,Berber youths,2001,1


Algeria,"political behavior,Berbers,2001,1


Algeria, youths","Berbers,1998,1


Algeria, youth","Kabyle ethnic group,2014,2


Algeria,"political behavior,leftists/liberals,1990,1


Algeria,"political behavior,leftists/secularists,1992,1


Algeria,"political behavior,muslim fundamentalist students,1992,1


Algeria,"political behavior,muslim fundamentalists,1990,1


Algeria,"political behavior,muslim fundamentalists,1991,2


Algeria,"political behavior,muslim fundamentalists,1992,4


Algeria,"political behavior,Opposition leaders from secularist party Rally for Culture and Democracy (RCD) and the Islamist Movement for Peace and Society (MSP),2014,1


Algeria,"political behavior,opposition parties,1997,1


Algeria,"political behavior,opposition parties,1999,1


Algeria,"political behavior,protesters,2013,1


Algeria,"political behavior,protesters,2015,3


Algeria,"political behavior,residents,2014,1


Algeria, youths","Berbers,2001,1


Algeria,"price increases,shantytown residents,2009,1


Algeria,removal of politician,anti-Bouteflika protesters,2014,1


Algeria,removal of politician,protesters,2011,1


Algeria,social restrictions,Kabylie Autonomy Movement,2013,1


Angola,labor wage dispute,Oil Unions,2006,1


Angola,labor wage dispute,servicemen and workers of the angolan air force and air defense force,1991,1


Angola,labor wage dispute,War Veterans,2012,1


Angola,land farm issue,community members,2016,1


Angola,land farm issue,Protesters,2001,1


Angola,land farm issue,Protesters,2009,1


Angola,police brutality,Protesters,2013,1


Angola,police brutality,Students,2013,1


Angola,"political behavior,Campaign for Democratic Angola,2005,1


Angola,"political behavior,children,1994,1


Angola,"political behavior,Mpalabanda human rights organisation,2005,1


Angola,"political behavior,protesters,2015,3


Angola,"political behavior,Students,2002,1


Angola,"political behavior,Students,2003,1


Angola,"price increases,Party for Development and Progress,1999,1


Angola,"price increases,Party for Development and Progress,2000,1


Angola,"price increases,seven Angolan opposition parties ,2000,1


Angola,"price increases,Students,2003,1


Angola,removal of politician,Party for Democratic Support and Progress,2004,1


Angola,removal of politician,Party for Democratic Support and Progress in Angola (PADPA),2003,1


Argentina,labor wage dispute,Laid-off workers of a bankrupt Florida sugar mill,1994,1


Argentina,labor wage dispute,organized by groups closely allied with and in some cases financed by Mr. Duhalde's own Peronist Party,2002,1


Argentina,labor wage dispute,piqueteros (unemployed demonstrators),2003,1


Argentina,labor wage dispute,Police,2013,1


Argentina,labor wage dispute,public servants,1999,1


Argentina,labor wage dispute,public workers,1994,1


Argentina,labor wage dispute,state employees ,1993,2


Argentina,labor wage dispute,unemployed,1997,1


Argentina,labor wage dispute,unemployed,2003,1


Argentina,labor wage dispute,unemployed workers,2002,1


Argentina,labor wage dispute,union members and government employees,1997,1


Argentina,police brutality,Jews,1997,1


Argentina,police brutality,prisoners/inmates,1996,1


Argentina, unemployed","angry bank depositors,2002,1


Argentina,"political behavior,anti-gay marriage people,2010,1


